trivial, nontrivial, cycles, bl, routed, usage
10, 20, 209, 7, 13, 0.290000
17, 13, 156, 5, 8, 0.270000
14, 16, 219, 5, 11, 0.330000
15, 15, 126, 2, 5, 0.290000
15, 15, 177, 5, 10, 0.270000
17, 13, 156, 4, 9, 0.300000
17, 13, 200, 3, 10, 0.370000
15, 15, 177, 5, 10, 0.270000
15, 15, 188, 5, 10, 0.270000
12, 18, 224, 9, 9, 0.260000
17, 13, 18, 1, 0, 0.170000
15, 15, 197, 6, 9, 0.270000
17, 13, 86, 0, 6, 0.350000
13, 17, 214, 6, 11, 0.290000
19, 11, 155, 5, 6, 0.250000
16, 14, 181, 4, 10, 0.340000
13, 17, 214, 6, 11, 0.290000
14, 16, 208, 6, 10, 0.270000
15, 15, 191, 6, 9, 0.340000
15, 15, 191, 5, 10, 0.300000
16, 14, 157, 3, 11, 0.320000
13, 17, 246, 5, 12, 0.350000
18, 12, 145, 4, 8, 0.280000
15, 15, 193, 5, 10, 0.310000
15, 15, 190, 3, 12, 0.330000
15, 15, 165, 5, 10, 0.280000
15, 15, 193, 5, 10, 0.310000
16, 14, 156, 6, 8, 0.240000
17, 13, 165, 5, 8, 0.260000
12, 18, 229, 5, 13, 0.350000
15, 15, 197, 7, 8, 0.270000
14, 16, 210, 6, 10, 0.330000
17, 13, 151, 3, 10, 0.320000
16, 14, 170, 5, 9, 0.270000
17, 13, 165, 3, 10, 0.360000
17, 13, 151, 3, 10, 0.320000
16, 14, 173, 6, 8, 0.250000
16, 14, 168, 5, 9, 0.260000
17, 13, 173, 4, 9, 0.330000
19, 11, 152, 5, 6, 0.280000
15, 15, 207, 5, 10, 0.310000
16, 14, 161, 3, 11, 0.310000
17, 13, 163, 4, 9, 0.310000
15, 15, 201, 4, 11, 0.320000
16, 14, 161, 3, 11, 0.310000
15, 15, 198, 6, 9, 0.300000
13, 17, 237, 6, 11, 0.340000
14, 16, 217, 4, 12, 0.320000
14, 16, 209, 5, 11, 0.330000
16, 14, 202, 6, 8, 0.290000
21, 9, 141, 5, 4, 0.230000
13, 17, 187, 4, 13, 0.320000
14, 16, 186, 4, 11, 0.290000
18, 12, 122, 3, 9, 0.300000
13, 17, 187, 4, 13, 0.320000
12, 18, 216, 5, 13, 0.360000
15, 15, 158, 5, 10, 0.320000
17, 13, 163, 4, 9, 0.320000
17, 13, 152, 3, 10, 0.330000
15, 15, 193, 8, 7, 0.260000
16, 14, 167, 4, 10, 0.320000
16, 14, 153, 2, 12, 0.360000
16, 14, 171, 3, 11, 0.350000
16, 14, 168, 5, 9, 0.270000
16, 14, 153, 2, 12, 0.360000
13, 17, 215, 7, 10, 0.270000
15, 15, 249, 7, 8, 0.280000
13, 17, 168, 5, 12, 0.340000
18, 12, 137, 4, 8, 0.270000
16, 14, 165, 4, 10, 0.320000
17, 13, 116, 2, 4, 0.290000
13, 17, 231, 6, 11, 0.290000
19, 11, 2, 0, 0, 0.190000
13, 17, 226, 7, 10, 0.330000
13, 17, 231, 6, 11, 0.290000
14, 16, 188, 6, 10, 0.280000
17, 13, 188, 6, 7, 0.250000
12, 18, 246, 6, 12, 0.300000
14, 16, 212, 7, 9, 0.300000
15, 15, 209, 8, 6, 0.220000
15, 15, 198, 6, 9, 0.300000
16, 14, 165, 3, 10, 0.310000
16, 14, 215, 5, 9, 0.290000
15, 15, 198, 6, 9, 0.300000
15, 15, 181, 6, 9, 0.270000
15, 15, 197, 8, 7, 0.220000
13, 17, 217, 4, 13, 0.320000
16, 14, 179, 5, 9, 0.290000
15, 15, 211, 8, 7, 0.260000
