trivial, nontrivial, cycles, bl, routed, usage
9, 5, 58, 2, 3, 0.187500
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 75, 1, 5, 0.265625
8, 6, 75, 1, 5, 0.265625
7, 7, 78, 1, 6, 0.265625
7, 7, 78, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
8, 6, 62, 2, 4, 0.203125
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 1, 6, 0.296875
7, 7, 91, 1, 6, 0.296875
7, 7, 78, 1, 6, 0.265625
7, 7, 78, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
8, 6, 62, 2, 4, 0.203125
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 1, 6, 0.296875
7, 7, 91, 1, 6, 0.296875
7, 7, 73, 1, 6, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 70, 3, 4, 0.187500
7, 7, 103, 2, 5, 0.250000
7, 7, 92, 2, 5, 0.218750
7, 7, 92, 2, 5, 0.218750
7, 7, 73, 1, 6, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 70, 3, 4, 0.187500
7, 7, 103, 2, 5, 0.250000
7, 7, 92, 2, 5, 0.218750
7, 7, 92, 2, 5, 0.218750
8, 6, 68, 2, 4, 0.203125
8, 6, 68, 2, 4, 0.203125
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 81, 2, 4, 0.218750
8, 6, 65, 0, 6, 0.296875
9, 5, 77, 1, 4, 0.265625
9, 5, 77, 1, 4, 0.265625
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 76, 2, 3, 0.203125
9, 5, 53, 1, 4, 0.218750
8, 6, 81, 1, 5, 0.296875
8, 6, 81, 1, 5, 0.296875
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 53, 2, 3, 0.187500
9, 5, 53, 2, 3, 0.187500
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 52, 1, 3, 0.218750
10, 4, 43, 0, 4, 0.281250
9, 5, 47, 1, 4, 0.234375
9, 5, 47, 1, 4, 0.234375
7, 7, 78, 1, 6, 0.265625
7, 7, 78, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
8, 6, 62, 2, 4, 0.203125
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 1, 6, 0.296875
7, 7, 91, 1, 6, 0.296875
7, 7, 97, 2, 5, 0.234375
7, 7, 97, 2, 5, 0.234375
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
9, 5, 63, 2, 3, 0.187500
10, 4, 37, 0, 4, 0.250000
9, 5, 58, 2, 3, 0.187500
9, 5, 58, 2, 3, 0.187500
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 52, 1, 3, 0.218750
10, 4, 43, 0, 4, 0.281250
9, 5, 56, 1, 4, 0.234375
9, 5, 56, 1, 4, 0.234375
8, 6, 87, 2, 4, 0.218750
8, 6, 87, 2, 4, 0.218750
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 73, 2, 4, 0.203125
8, 6, 73, 2, 4, 0.203125
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
9, 5, 72, 2, 3, 0.203125
10, 4, 46, 1, 3, 0.218750
9, 5, 56, 1, 4, 0.234375
9, 5, 56, 1, 4, 0.234375
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 52, 1, 3, 0.218750
10, 4, 43, 0, 4, 0.281250
9, 5, 47, 1, 4, 0.234375
9, 5, 47, 1, 4, 0.234375
7, 7, 97, 2, 5, 0.234375
7, 7, 97, 2, 5, 0.234375
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
9, 5, 63, 2, 3, 0.187500
10, 4, 37, 0, 4, 0.250000
9, 5, 58, 2, 3, 0.187500
9, 5, 58, 2, 3, 0.187500
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 75, 1, 5, 0.265625
8, 6, 75, 1, 5, 0.265625
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 70, 3, 4, 0.187500
7, 7, 103, 2, 5, 0.250000
7, 7, 92, 2, 5, 0.218750
7, 7, 92, 2, 5, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 53, 2, 3, 0.187500
9, 5, 53, 2, 3, 0.187500
8, 6, 68, 2, 4, 0.203125
8, 6, 68, 2, 4, 0.203125
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 81, 2, 4, 0.218750
8, 6, 65, 0, 6, 0.296875
9, 5, 77, 1, 4, 0.265625
9, 5, 77, 1, 4, 0.265625
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 75, 1, 5, 0.265625
8, 6, 75, 1, 5, 0.265625
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 52, 1, 3, 0.218750
10, 4, 43, 0, 4, 0.281250
9, 5, 56, 1, 4, 0.234375
9, 5, 56, 1, 4, 0.234375
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 76, 2, 3, 0.203125
9, 5, 53, 1, 4, 0.218750
8, 6, 81, 1, 5, 0.296875
8, 6, 81, 1, 5, 0.296875
8, 6, 87, 2, 4, 0.218750
8, 6, 87, 2, 4, 0.218750
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 73, 2, 4, 0.203125
8, 6, 73, 2, 4, 0.203125
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 76, 2, 3, 0.203125
9, 5, 53, 1, 4, 0.218750
8, 6, 81, 1, 5, 0.296875
8, 6, 81, 1, 5, 0.296875
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 76, 2, 3, 0.203125
9, 5, 53, 1, 4, 0.218750
8, 6, 81, 1, 5, 0.296875
8, 6, 81, 1, 5, 0.296875
8, 6, 87, 2, 4, 0.218750
8, 6, 87, 2, 4, 0.218750
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 73, 2, 4, 0.203125
8, 6, 73, 2, 4, 0.203125
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 75, 1, 5, 0.265625
8, 6, 75, 1, 5, 0.265625
7, 7, 81, 2, 5, 0.234375
7, 7, 81, 2, 5, 0.234375
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 81, 2, 4, 0.218750
8, 6, 65, 0, 6, 0.296875
10, 4, 62, 1, 3, 0.250000
10, 4, 62, 1, 3, 0.250000
7, 7, 97, 2, 5, 0.234375
7, 7, 97, 2, 5, 0.234375
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
9, 5, 63, 2, 3, 0.187500
10, 4, 37, 0, 4, 0.250000
9, 5, 58, 2, 3, 0.187500
9, 5, 58, 2, 3, 0.187500
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 75, 1, 5, 0.265625
8, 6, 75, 1, 5, 0.265625
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
7, 7, 81, 2, 5, 0.234375
7, 7, 81, 2, 5, 0.234375
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 81, 2, 4, 0.218750
8, 6, 65, 0, 6, 0.296875
10, 4, 62, 1, 3, 0.250000
10, 4, 62, 1, 3, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 70, 3, 4, 0.187500
7, 7, 103, 2, 5, 0.250000
7, 7, 92, 2, 5, 0.218750
7, 7, 92, 2, 5, 0.218750
7, 7, 73, 1, 6, 0.250000
7, 7, 73, 1, 6, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 103, 2, 5, 0.250000
7, 7, 70, 3, 4, 0.187500
7, 7, 103, 2, 5, 0.250000
7, 7, 92, 2, 5, 0.218750
7, 7, 92, 2, 5, 0.218750
7, 7, 78, 1, 6, 0.265625
7, 7, 78, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 2, 5, 0.250000
8, 6, 62, 2, 4, 0.203125
7, 7, 91, 2, 5, 0.250000
7, 7, 91, 1, 6, 0.296875
7, 7, 91, 1, 6, 0.296875
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
9, 5, 72, 2, 3, 0.203125
10, 4, 46, 1, 3, 0.218750
9, 5, 56, 1, 4, 0.234375
9, 5, 56, 1, 4, 0.234375
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 52, 1, 3, 0.218750
10, 4, 43, 0, 4, 0.281250
9, 5, 47, 1, 4, 0.234375
9, 5, 47, 1, 4, 0.234375
7, 7, 82, 2, 5, 0.218750
7, 7, 82, 2, 5, 0.218750
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 91, 2, 5, 0.265625
7, 7, 77, 1, 6, 0.265625
7, 7, 91, 2, 5, 0.265625
8, 6, 85, 1, 5, 0.250000
8, 6, 85, 1, 5, 0.250000
7, 7, 97, 2, 5, 0.234375
7, 7, 97, 2, 5, 0.234375
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
9, 5, 63, 2, 3, 0.187500
10, 4, 37, 0, 4, 0.250000
9, 5, 58, 2, 3, 0.187500
9, 5, 58, 2, 3, 0.187500
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 75, 1, 5, 0.265625
8, 6, 75, 1, 5, 0.265625
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 43, 0, 4, 0.281250
10, 4, 52, 1, 3, 0.218750
10, 4, 43, 0, 4, 0.281250
9, 5, 56, 1, 4, 0.234375
9, 5, 56, 1, 4, 0.234375
6, 8, 103, 1, 7, 0.296875
6, 8, 103, 1, 7, 0.296875
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 76, 2, 3, 0.203125
9, 5, 53, 1, 4, 0.218750
8, 6, 81, 1, 5, 0.296875
8, 6, 81, 1, 5, 0.296875
8, 6, 87, 2, 4, 0.218750
8, 6, 87, 2, 4, 0.218750
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 56, 1, 3, 0.218750
10, 4, 37, 0, 4, 0.250000
8, 6, 73, 2, 4, 0.203125
8, 6, 73, 2, 4, 0.203125
7, 7, 78, 1, 6, 0.265625
7, 7, 78, 1, 6, 0.265625
7, 7, 94, 2, 5, 0.265625
7, 7, 94, 2, 5, 0.265625
7, 7, 94, 2, 5, 0.265625
7, 7, 94, 2, 5, 0.265625
8, 6, 62, 2, 4, 0.203125
7, 7, 94, 2, 5, 0.265625
7, 7, 117, 2, 5, 0.281250
7, 7, 117, 2, 5, 0.281250
9, 5, 53, 1, 4, 0.218750
9, 5, 53, 1, 4, 0.218750
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 50, 1, 4, 0.250000
9, 5, 53, 2, 3, 0.187500
9, 5, 53, 2, 3, 0.187500
7, 7, 81, 2, 5, 0.234375
7, 7, 81, 2, 5, 0.234375
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 65, 0, 6, 0.296875
8, 6, 81, 2, 4, 0.218750
8, 6, 65, 0, 6, 0.296875
10, 4, 62, 1, 3, 0.250000
10, 4, 62, 1, 3, 0.250000
9, 5, 58, 1, 4, 0.218750
9, 5, 58, 1, 4, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
10, 4, 46, 1, 3, 0.218750
9, 5, 72, 2, 3, 0.203125
10, 4, 46, 1, 3, 0.218750
9, 5, 56, 1, 4, 0.234375
9, 5, 56, 1, 4, 0.234375
7, 7, 97, 2, 5, 0.234375
7, 7, 97, 2, 5, 0.234375
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
10, 4, 37, 0, 4, 0.250000
9, 5, 63, 2, 3, 0.187500
10, 4, 37, 0, 4, 0.250000
9, 5, 58, 2, 3, 0.187500
9, 5, 58, 2, 3, 0.187500
7, 7, 73, 1, 6, 0.250000
